DATE,YEAR,TYPE,WEEK,GAME ,Match,Team A,Team B,Team A side,MATCH WIN,END TYPE,END TIME,MVP,MVP Hero,A BAN 1,A BAN 2,A BAN 3,A BAN 4,B BAN 1,B BAN 2,B BAN 3,B BAN 4,A DSL,A JUG,A MID,A ADL,A SUP,B DSL,B JUG,B MID,B ADL,B SUP,A P DSL,A P JUG,A P MID,A P ADL,A P SUP,B P DSL,B P JUG,B P MID,B P ADL,B P SUP,,FIRST BLOOD,A DSL KILL,A DSL DEATH,A DSL ASSIST,A DSL DMG,A DSL DTK,A JUG KILL,A JUG DEATH,A JUG ASSIST,A JUG DMG,A JUG DTK,A MID KILL,A MID DEATH,A MID ASSIST,A MID DMG,A MID DTK,A ADL KILL,A ADL DEATH,A ADL ASSIST,A ADL DMG,A ADL DTK,A SUP KILL,A SUP DEATH,A SUP ASSIST,A SUP DMG,A SUP DTK,B DSL KILL,B DSL DEATH,B DSL ASSIST,B DSL DMG,B DSL DTK,B JUG KILL,B JUG DEATH,B JUG ASSIST,B JUG DMG,B JUG DTK,B MID KILL,B MID DEATH,B MID ASSIST,B MID DMG,B MID DTK,B ADL KILL,B ADL DEATH,B ADL ASSIST,B ADL DMG,B ADL DTK,B SUP KILL,B SUP DEATH,B SUP ASSIST,B SUP DMG,B SUP DTK,A Gold,B Gold,A DRAGON,A SLAYER,A TOWER,B DRAGON,B SLAYER ,B TOWER,1 GOD SPAWN,1 GOD GAIN,A DSL GOLD,A JUG GOLD,A MID GOLD,A ADL GOLD,A SUP GOLD,B DSL GOLD,B JUG GOLD,B MID GOLD,B ADL GOLD,B SUP GOLD,A DSL GPM,A JUG GPM,A MID GPM,A ADL GPM,A SUP GPM,B DSL GPM,B JUG GPM,B MID GPM,B ADL GPM,B SUP GPM,A DSL RATING,A JUG RATING,A MID RATING,A ADL RATING,A SUP RATING,B DSL RATING,B JUG RATING,B MID RATING,B ADL RATING,B SUP RATING
,2026,Legend Goddess Cup,,1,1,ANK Female,RELOVE DCG,BLUE,ANK Female,,14.48,YouNing,Dolia,,,,,,,,,Ryoma,Zephys,Iggy,Stuart,Dolia,Riktor,Nakroth,Liliana,Hayate,Thane,ZXuan,Mico,LuoLuo,LuLu,YouNing,Beth,ShuiJiao,Valkyrie,YuXin,GirlWa,,,2,0,4,"34,760","35,045",1,0,6,"34,729","37,435",1,0,5,"87,701","29,029",4,1,3,"70,349","34,803",1,0,6,"25,149","63,252",0,1,0,"24,982","43,353",0,3,0,"19,752","39,490",1,1,0,"76,885","42,322",0,1,1,"46,200","41,924",0,3,0,"31,745","85,599","48,357","41,628",,,,,,,,,11858,10022,9322,9613,7542,7862,8942,8237,10970,5617,801,677,630,650,510,531,604,557,741,380,9.6,9.6,9.3,9.6,9.8,4.8,2.7,6.0,4.9,4.5
,2026,Legend Goddess Cup,,2,1,ANK Female,RELOVE DCG,RED,ANK Female,,13.37,LuoLuo,Lorion,,,,,,,,,Yena,Sinestrea,Lorion,Violet,TeeMee,Murad,Eland'orr,Rouie,Wisp,Arduin,ZXuan,Mico,LuoLuo,LuLu,YouNing,Beth,ShuiJiao,Valkyrie,YuXin,GirlWa,,,4,1,6,"38,417","34,177",3,1,5,"70,420","36,316",5,1,7,"69,384","60,258",1,1,4,"37,962","25,143",0,0,10,"12,888","50,991",2,3,2,"54,878","28,306",1,3,2,"26,672","48,933",0,2,4,"57,528","39,629",0,2,3,"47,973","33,187",1,3,3,"23,005","79,016","45,955","39,233",,,,,,,,,9357,10582,9264,9698,7054,7933,9283,6441,9128,6448,687,777,680,712,518,583,682,473,670,474,10.3,9.3,11.7,6.9,9.6,4.8,3.9,5.1,4.7,5.3
,2026,Legend Goddess Cup,,1,2,ANK Female,CSUEST,RED,ANK Female,,9.45,ZXuan,Qi,,,,,,,,,Qi,Billow,Ignis,Flowborn,Cresht,Marja,Sinestrea,Mganga,Valhein,克萊斯? (need confirm),ZXuan,Mico,LuoLuo,LuLu,YouNing,chy,huiyi,Sinian,xyc,Euii,,,2,0,6,"31,727","13,839",5,2,2,"27,744","22,983",0,0,6,"64,676","23,828",1,0,2,"26,491","6,704",1,1,6,"16,628","33,588",,,,,,,,,,,,,,,,,,,,,,,,,,"31,724",,,,,,,,,,7336,7023,5983,6298,5084,,,,,,752,720,614,646,521,,,,,,9.9,7.9,9.1,6.5,8.7,,,,,
,2026,Legend Goddess Cup,,2,2,ANK Female,CSUEST,BLUE,ANK Female,,10.30,LuoLuo,Zata,,,,,,,,,Yena,Sinestrea,Zata,Capheny,Lumburr,Arduin,Billow,Ignis,Ryoma,Cresht,ZXuan,Mico,LuoLuo,LuLu,YouNing,chy,huiyi,Sinian,xyc,Euii,,,3,3,8,"35,210","22,944",4,1,7,"74,964","25,842",6,1,9,"72,704","27,737",2,0,6,"49,691","8,045",2,0,14,"35,168","35,524",,,,,,,,,,,,,,,,,,,,,,,,,,"38,669",,,,,,,,,,8135,9547,7786,7300,5901,,,,,,775,909,742,695,562,,,,,,8.1,10.2,11.8,8.2,10.8,,,,,
,2026,Legend Goddess Cup,,1,3,RELOVE DCG,HUNGKUANG FALCON,RED,RELOVE DCG,,18.05,YuXin,Capheny,,,,,,,,,Mina,Keera,Lauriel,Capheny,Dyadia,Omen,Zephys,Rouie,Wisp,Maloch,Beth,ShuiJiao,Valkyrie,YuXin,GirlWa,Loco,Ruruni,EJ,XiaoKui,XIAOYU,,,2,3,7,"56,621","81,320",3,3,3,"33,290","40,821",1,2,11,"108,060","90,984",6,1,5,"115,413","45,365",0,1,9,"46,741","60,641",1,2,6,"29,280","51,877",1,2,5,"26,773","35,824",2,2,8,"94,476","39,865",3,2,4,"108,823","52,343",3,4,6,"68,139","180,216","60,814","53,347",,,,,,,,,10269,14582,10139,15868,9956,11872,11361,9725,11625,8764,568,806,561,877,551,657,628,538,643,485,7.3,6.0,9.5,12.2,9.0,6.2,5.6,7.6,7.5,7.4
,2026,Legend Goddess Cup,,2,3,RELOVE DCG,HUNGKUANG FALCON,RED,RELOVE DCG,,11.23,ShuiJiao,Ryoma,,,,,,,,,Murad,Ryoma,Zata,Hayate,Cresht,Marja,Aoi,Iggy,Flowborn,Y'bneth,Beth,ShuiJiao,Valkyrie,YuXin,GirlWa,Loco,Ruruni,EJ,XiaoKui,XIAOYU,,,0,0,2,"25,282","10,668",2,1,2,"42,400","36,862",3,0,2,"42,811","22,156",2,0,0,"54,765","21,660",0,0,3,"7,754","37,440",0,2,0,"18,625","42,414",1,2,0,"21,534","28,550",0,1,0,"37,910","19,219",0,1,0,"35,114","27,206",0,1,0,"15,603","55,623","39,420","31,305",,,,,,,,,8539,8912,7631,8583,5755,6762,6534,6188,7401,4420,750,783,670,754,506,594,574,544,650,388,6.5,10.2,9.8,9.0,8.4,3.6,4.0,4.7,4.6,5.6
,2026,Legend Goddess Cup,,1,4,ANK Female,HUNGKUANG FALCON,BLUE,HUNGKUANG FALCON,,13.20,xiaokuba,Cresht,,,,,,,,,Florentino,Ryoma,Zata,Violet,Dolia,Airi,Volkath,Iggy,Stuart,Cresht,ZXuan,Mico,LuoLuo,LuLu,YouNing,Loco,Ruruni,EJ,XiaoKui,xiaokuba,,,1,3,1,22183,33298,1,2,3,47864,52020,1,2,2,52419,61691,4,1,1,58912,32214,0,4,5,39360,69656,,,,,,,,,,,,,,,,,,,,,,,,,,39693,,,,,,,,,,9376,8681,6329,9052,6255,,,,,,703,651,475,679,469,,,,,,4.1,6.1,5.0,7.2,4.6,,,,,
,2026,Legend Goddess Cup,,2,4,ANK Female,HUNGKUANG FALCON,RED,ANK Female,,12.25,ZXuan,Yena,,,,,,,,,Yena,Billow,Lorion,Capheny,Lumburr,Taara,Tachi,Aya,Wisp,Cresht,ZXuan,Mico,LuoLuo,LuLu,YouNing,Loco,Ruruni,EJ,XiaoKui,xiaokuba,,,3,1,7,49581,31350,4,0,5,41958,32388,1,1,6,67010,48162,2,1,4,74420,27658,1,2,8,18079,57850,,,,,,,,,,,,,,,,,,,,,,,,,,41607,,,,,,,,,,9662,9817,6927,8974,6227,,,,,,778,791,558,722,501,,,,,,11.0,10.0,8.9,8.8,7.9,,,,,
,2026,Legend Goddess Cup,,3,4,ANK Female,HUNGKUANG FALCON,BLUE,ANK Female,,24.34,Mico,Eland'orr,,,,,,,,,Qi,Eland'orr,Mganga,Flowborn,TeeMee,Skud,Keera,Lorion,Violet,Maloch,ZXuan,Mico,LuoLuo,LuLu,YouNing,Loco,Ruruni,EJ,XiaoKui,xiaokuba,,,4,5,7,62250,87436,8,2,6,186546,103024,4,6,15,182483,178071,3,3,11,189700,65604,3,7,16,48884,156390,,,,,,,,,,,,,,,,,,,,,,,,,,72951,,,,,,,,,,15517,20057,13442,12378,11557,,,,,,631,816,547,504,470,,,,,,6.7,12.1,8.4,8.4,7.1,,,,,
,2026,Legend Goddess Cup,,1,5,ANK Female,EA Girl,RED,ANK Female,,15.16,aovthpro40,Riktor,,,,,,,,,Riktor,Sinestrea,Zata,Flowborn,Y'bneth,Mina,Iggy,Billow,Violet,Toro,aovthpro40,aovthpro42,OuL,aovthpro45,aovthpro41,Leo6767676767,misskratai,KOG.Gimpo,Bunnu~・,APR.TnK,,,5,0,4,34723,33702,2,2,6,46015,34596,6,4,7,74319,53709,0,2,10,29349,28716,2,2,11,33533,78717,,,,,,,,,,,,,,,,,,,,,,,,,,39348,,,,,,,,,,8414,9207,7680,7556,6491,,,,,,551,603,503,495,425,,,,,,10.4,7.8,8.7,5.9,7.6,,,,,
