"YEAR","TYPE","WEEK","Match","Team A","Team B","MATCH WIN","Score A","Score B","","","","","","","","","","","","","","","",""
"2026","RPL Summer","po1","1","BRU","FS","FS","1","4","","","","","","","","","","","","","","","",""
"2026","RPL Summer","po1","2","KOG","SLX","KOG","4","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","po2","3","BRU","KOG","BRU","4","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","po2","4","FS","BRU","BRU","2","4","","","","","","","","","","","","","","","",""
"2026","GCS Spring","po1","1","FW","DCG","FW","4","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","po2","2","ANK","BMG","ANK","4","0","","","","","","","","","","","","","","","",""
"2026","GCS Spring","po3","3","DCG","ANK","DCG","4","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","po3","4","FW","DCG","FW","2","4","","","","","","","","","","","","","","","",""
"2026","AOG Spring","po1","1","FPL","GAM","FPL","4","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","po1","2","FPT","SGP","FPT","4","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","po2","3","SGP","FPL","SGP","4","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","po3","4","FPT","SGP","FPT","4","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d1","1","FS","GJC","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d1","2","SLX","BAC","SLX","3","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d1","3","BRU","EA","BRU","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d2","4","BAC","HD","BAC","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d2","5","SLX","BRU","SLX","3","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w1d2","6","FS","TEN","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d1","7","KOG","GJC","KOG","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d1","8","SLX","EA","SLX","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d2","9","FS","HD","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d2","10","TEN","KOG","TEN","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d3","11","GJC","BRU","BRU","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d3","12","EA","FS","FS","2","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d3","13","BAC","TEN","TEN","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d4","14","EA","KOG","EA","3","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d4","15","HD","SLX","SLX","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w2d4","16","BRU","BAC","BRU","3","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d1","17","BAC","GJC","GJC","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d1","18","TEN","HD","TEN","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d2","19","EA","GJC","GJC","2","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d2","20","FS","BAC","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d3","21","SLX","TEN","SLX","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d3","22","KOG","BRU","BRU","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d3","23","HD","EA","EA","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d4","24","BRU","FS","BRU","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d4","25","GJC","HD","HD","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w3d4","26","KOG","SLX","SLX","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w4d1","27","KOG","FS","FS","2","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w4d1","28","GJC","TEN","TEN","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w4d2","29","HD","BRU","BRU","0","3","","","","","","","","","","","","","","","",""
