"","LEAGUE","","",""
"BAC","RPL","","",""
"EA","RPL","","",""
"TEN","RPL","","",""
"HD","RPL","","",""
"FS","RPL","","",""
"KOG","RPL","","",""
"BRU","RPL","","",""
"SLX","RPL","","",""
"GJC","RPL","","",""
"FW","GCS","","",""
"BMG","GCS","","",""
"ONE","GCS","","",""
"HKA","GCS","","",""
"ANK","GCS","","",""
"DCG","GCS","","",""
"LIT","GCS","","",""
"SGP","AOG","","",""
"1S","AOG","","",""
"FPT","AOG","","",""
"GAM","AOG","","",""
"SPN","AOG","","",""
"BOX","AOG","","",""
"FPL","AOG","","",""
"TS","AOG","","",""
"TENA","semi","","",""
"CMES","semi","","",""
"NONAME","semi","","",""
"TB1","semi","","",""
"BESC","semi","","",""
"Tony","semi","","",""
"Fsize","semi","","",""
"STIE","semi","","",""
"FIFA","semi","","",""
"CFX","ASL","","",""
"TL","ASL","","",""
